id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,hour,day_of_week,month,is_weekend
14052465,JJ518355,2025-12-11 00:45:00,093XX S LUELLA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,413,4,7,48.0,08B,1192805.0,1843481.0,2025,2025-12-19 15:43:07,41.725478054,-87.569336351,"(41.725478054, -87.569336351)",0,Thursday,12,0
14052422,JJ518335,2025-12-11 00:41:00,037XX N HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1923,19,46,6.0,14,1170244.0,1925277.0,2025,2025-12-19 15:43:07,41.950453457,-87.649592688,"(41.950453457, -87.649592688)",0,Thursday,12,0
14070495,JJ540372,2025-12-11 00:30:00,095XX S BISHOP ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2213,22,21,73.0,17,1168347.0,1841466.0,2025,2026-01-02 15:41:20,41.720509338,-87.658984486,"(41.720509338, -87.658984486)",0,Thursday,12,0
14052549,JJ518493,2025-12-11 00:30:00,023XX W TOUHY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,2411,24,50,2.0,26,1159439.0,1947719.0,2025,2025-12-19 15:43:07,42.012264945,-87.688690053,"(42.012264945, -87.688690053)",0,Thursday,12,0
14052414,JJ518332,2025-12-11 00:20:00,063XX S CALIFORNIA AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,False,False,825,8,16,66.0,15,1158801.0,1862530.0,2025,2025-12-19 15:43:07,41.778512133,-87.693375564,"(41.778512133, -87.693375564)",0,Thursday,12,0
14052502,JJ518328,2025-12-11 00:16:00,002XX S HAMLIN BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1122,11,28,27.0,14,1151106.0,1898656.0,2025,2026-01-14 15:42:59,41.87780039,-87.720641675,"(41.87780039, -87.720641675)",0,Thursday,12,0
14052421,JJ518329,2025-12-11 00:11:00,053XX W MONROE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,True,1522,15,29,25.0,08B,1140834.0,1899144.0,2025,2025-12-19 15:43:07,41.879334552,-87.758346342,"(41.879334552, -87.758346342)",0,Thursday,12,0
14053108,JJ519243,2025-12-11 00:10:00,019XX S SPRINGFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1014,10,24,29.0,14,1150707.0,1890145.0,2025,2025-12-19 15:43:07,41.854453024,-87.722329136,"(41.854453024, -87.722329136)",0,Thursday,12,0
14053149,JJ518491,2025-12-11 00:05:00,046XX N KENMORE AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,1914,19,46,3.0,6,1168406.0,1930756.0,2025,2025-12-19 15:43:07,41.965528071,-87.656189835,"(41.965528071, -87.656189835)",0,Thursday,12,0
14052477,JJ518333,2025-12-11 00:03:00,075XX S SAGINAW AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARK PROPERTY,False,True,421,4,7,43.0,7,1195237.0,1855388.0,2025,2025-12-19 15:43:07,41.758092261,-87.560036078,"(41.758092261, -87.560036078)",0,Thursday,12,0
14115898,JK155725,2025-12-11 00:01:00,103XX S AVENUE G,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,432,4,10,52.0,6,1203152.0,1836948.0,2025,2026-02-22 15:41:00,41.707292764,-87.531658625,"(41.707292764, -87.531658625)",0,Thursday,12,0
14091202,JK125418,2025-12-11 00:01:00,0000X E BANKS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False,1824,18,43,8.0,11,1176713.0,1909422.0,2025,2026-01-26 15:41:43,41.906802735,-87.626294031,"(41.906802735, -87.626294031)",0,Thursday,12,0
14064566,JJ533264,2025-12-11 00:01:00,029XX S LOWE AVE,810,THEFT,OVER $500,APARTMENT,False,True,914,9,11,60.0,6,1172433.0,1885488.0,2025,2025-12-26 15:41:06,41.841221923,-87.642723476,"(41.841221923, -87.642723476)",0,Thursday,12,0
14058916,JJ526502,2025-12-11 00:01:00,028XX N NATOMA AVE,890,THEFT,FROM BUILDING,APARTMENT,False,False,2511,25,36,18.0,6,1131597.0,1918140.0,2025,2025-12-20 15:41:12,41.93162687,-87.791823404,"(41.93162687, -87.791823404)",0,Thursday,12,0
14052604,JJ518592,2025-12-11 00:01:00,035XX W 58TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,822,8,14,63.0,26,1153698.0,1865925.0,2025,2025-12-19 15:43:07,41.787931213,-87.71199372,"(41.787931213, -87.71199372)",0,Thursday,12,0
14052565,JJ518488,2025-12-11 00:01:00,013XX S LAWNDALE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1011,10,24,29.0,7,1151923.0,1893468.0,2025,2025-12-19 15:43:07,41.863547895,-87.717778437,"(41.863547895, -87.717778437)",0,Thursday,12,0
14052816,JJ518904,2025-12-11 00:01:00,007XX N CENTRAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1524,15,37,25.0,14,1138895.0,1904267.0,2025,2025-12-19 15:43:07,41.893428145,-87.765341632,"(41.893428145, -87.765341632)",0,Thursday,12,0
14052741,JJ518490,2025-12-11 00:01:00,033XX S JUSTINE ST,710,THEFT,THEFT FROM MOTOR VEHICLE,VEHICLE NON-COMMERCIAL,False,False,912,9,11,59.0,6,1166558.0,1882537.0,2025,2025-12-19 15:43:07,41.833251695,-87.664366946,"(41.833251695, -87.664366946)",0,Thursday,12,0
14055500,JJ522129,2025-12-11 00:01:00,075XX S INGLESIDE AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,ALLEY,False,False,624,6,8,69.0,6,1183868.0,1855200.0,2025,2025-12-19 15:43:07,41.757849252,-87.601707567,"(41.757849252, -87.601707567)",0,Thursday,12,0
14119672,JK160181,2025-12-11 00:00:00,072XX N DAMEN AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,2424,24,49,1.0,6,1161719.0,1948069.0,2025,2026-02-27 15:40:48,42.013177932,-87.680291032,"(42.013177932, -87.680291032)",0,Thursday,12,0
14109356,JK146723,2025-12-11 00:00:00,048XX S SHIELDS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,935,9,20,37.0,26,1174771.0,1872976.0,2025,2026-02-16 15:41:06,41.806835985,-87.63451735,"(41.806835985, -87.63451735)",0,Thursday,12,0
14074902,JK104772,2025-12-11 00:00:00,078XX S SOUTH SHORE DR,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,421,4,7,43.0,11,1197870.0,1853997.0,2025,2026-02-09 15:40:49,41.754209909,-87.550433015,"(41.754209909, -87.550433015)",0,Thursday,12,0
14097529,JK133496,2025-12-11 00:00:00,103XX S AVENUE G,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,432,4,10,52.0,11,1203152.0,1836948.0,2025,2026-02-04 15:43:25,41.707292764,-87.531658625,"(41.707292764, -87.531658625)",0,Thursday,12,0
14080283,JK111296,2025-12-11 00:00:00,019XX W BYRON ST,810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),False,False,1922,19,47,5.0,6,1162502.0,1925906.0,2025,2026-01-14 15:42:59,41.952345422,-87.678033876,"(41.952345422, -87.678033876)",0,Thursday,12,0
14070472,JJ540318,2025-12-11 00:00:00,063XX S EVANS AVE,820,THEFT,$500 AND UNDER,APARTMENT,False,False,312,3,20,42.0,6,1182308.0,1863155.0,2025,2026-01-02 15:41:20,41.779714819,-87.607178584,"(41.779714819, -87.607178584)",0,Thursday,12,0
14069516,JJ539043,2025-12-11 00:00:00,052XX S KOSTNER AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,False,815,8,23,57.0,7,1147921.0,1869405.0,2025,2026-01-01 15:46:06,41.797593492,-87.733086855,"(41.797593492, -87.733086855)",0,Thursday,12,0
14060058,JJ527856,2025-12-11 00:00:00,124XX S NORMAL AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,523,5,9,53.0,17,1175220.0,1822492.0,2025,2025-12-21 15:42:59,41.668291342,-87.634374353,"(41.668291342, -87.634374353)",0,Thursday,12,0
14058952,JJ526507,2025-12-11 00:00:00,107XX S LA SALLE ST,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,513,5,9,49.0,6,1177177.0,1833767.0,2025,2025-12-20 15:41:12,41.699187865,-87.626873794,"(41.699187865, -87.626873794)",0,Thursday,12,0
14052511,JJ518411,2025-12-11 00:00:00,086XX S ELIZABETH ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,613,6,17,71.0,26,1169501.0,1847458.0,2025,2025-12-18 15:42:08,41.736927375,-87.654584597,"(41.736927375, -87.654584597)",0,Thursday,12,0
14052734,JJ518617,2025-12-11 00:00:00,058XX W DICKENS AVE,1330,CRIMINAL TRESPASS,TO LAND,COMMERCIAL / BUSINESS OFFICE,False,False,2515,25,29,19.0,26,1137311.0,1913202.0,2025,2025-12-18 15:42:08,41.917975494,-87.770944052,"(41.917975494, -87.770944052)",0,Thursday,12,0
14052513,JJ518410,2025-12-11 00:00:00,086XX S ELIZABETH ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,613,6,17,71.0,26,1169501.0,1847458.0,2025,2025-12-18 15:42:08,41.736927375,-87.654584597,"(41.736927375, -87.654584597)",0,Thursday,12,0
14053026,JJ519086,2025-12-11 00:00:00,074XX S SOUTH SHORE DR,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,334,3,7,43.0,08A,1195716.0,1856693.0,2025,2025-12-18 15:42:08,41.761661446,-87.558237537,"(41.761661446, -87.558237537)",0,Thursday,12,0
14054836,JJ521350,2025-12-11 00:00:00,070XX S YALE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,731,7,6,69.0,6,1175844.0,1858198.0,2025,2025-12-18 15:42:08,41.766259608,-87.631024685,"(41.766259608, -87.631024685)",0,Thursday,12,0
14057086,JJ523900,2025-12-11 00:00:00,069XX S WOODLAWN AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,321,3,5,69.0,17,1185601.0,1859248.0,2025,2025-12-18 15:42:08,41.768916724,-87.595229104,"(41.768916724, -87.595229104)",0,Thursday,12,0
14053326,JJ519353,2025-12-11 00:00:00,066XX N DAMEN AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,2412,24,40,2.0,6,1161754.0,1944052.0,2025,2025-12-18 15:42:08,42.002154447,-87.680274998,"(42.002154447, -87.680274998)",0,Thursday,12,0
